659,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;
686,00;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;
718,00;4,2%;0,8%;0,0%;0,0%;0,0%;0,0%;
739,00;7,3%;2,8%;0,2%;0,0%;0,0%;0,0%;
814,00;8,2%;4,6%;1,1%;0,0%;0,0%;0,0%;
922,00;10,4%;6,9%;3,6%;0,0%;0,0%;0,0%;
1 005,00;11,6%;8,2%;5,8%;1,5%;0,0%;0,0%;
1 065,00;12,4%;9,1%;6,7%;3,4%;0,0%;0,0%;
1 143,00;13,5%;11,0%;8,6%;5,2%;2,8%;0,3%;
1 225,00;14,5%;12,1%;9,6%;6,2%;3,7%;1,3%;
1 321,00;15,6%;13,2%;10,8%;7,2%;4,7%;2,3%;
1 424,00;16,6%;14,2%;11,7%;8,3%;6,7%;4,1%;
1 562,00;17,7%;15,2%;12,7%;10,3%;7,8%;5,1%;
1 711,00;19,1%;16,7%;15,2%;11,7%;9,2%;6,7%;
1 870,00;20,5%;18,7%;17,8%;14,9%;12,9%;12,0%;
1 977,00;21,5%;19,9%;18,7%;15,9%;14,9%;12,9%;
2 090,00;22,5%;20,8%;19,8%;16,8%;15,9%;13,9%;
2 218,00;23,5%;21,9%;20,9%;18,0%;16,9%;14,9%;
2 367,00;24,5%;22,9%;21,9%;19,0%;18,1%;15,9%;
2 535,00;25,5%;24,9%;22,9%;21,0%;19,0%;18,1%;
2 767,00;26,5%;25,8%;24,0%;22,0%;20,0%;19,0%;
3 104,00;27,8%;27,1%;25,2%;23,2%;21,2%;20,2%;
3 534,00;29,4%;29,1%;27,5%;25,9%;25,3%;23,7%;
4 118,00;30,5%;30,3%;28,5%;26,9%;26,3%;25,7%;
4 650,00;32,3%;31,8%;30,2%;28,4%;27,8%;27,2%;
5 194,00;33,3%;32,8%;32,2%;29,7%;28,8%;28,2%;
5 880,00;34,3%;33,8%;33,2%;30,6%;30,0%;29,2%;
6 727,00;36,3%;35,9%;35,1%;33,2%;32,8%;32,4%;
7 939,00;37,3%;36,9%;36,5%;35,2%;33,8%;33,4%;
9 560,00;39,3%;38,9%;38,5%;37,2%;36,8%;35,4%;
11 282,00;40,3%;39,9%;39,5%;38,6%;37,8%;36,4%;
18 854,00;41,3%;40,9%;40,5%;39,6%;39,2%;37,4%;
20 221,00;42,3%;41,9%;41,5%;40,6%;40,2%;38,4%;
22 749,00;43,1%;42,9%;42,5%;41,6%;41,2%;39,6%;
25 276,00;44,1%;43,9%;43,5%;42,6%;42,2%;40,8%;
25 276,00;45,1%;44,9%;44,5%;43,6%;43,2%;41,8%;
